Date;Espèce;Type;Sous-type;Etat
2021-01-14;Chêne;Arbre;;4.0
2021-01-14;Flouve;Herbacée;Graminée;3.0
2021-01-14;Fléole;Herbacée;Graminée;3.0
2021-01-14;Aulne;Arbre;;3.0
2021-01-14;Bouleau;Arbre;;3.0
2021-01-14;Armoise;Herbacée;;3.0
2021-01-14;Fromental;Herbacée;Graminée;3.0
2021-01-14;Frêne;Arbre;;4.0
2021-01-14;Vulpin;Herbacée;Graminée;3.0
2021-01-14;Saule;Arbre;;3.0
2021-01-14;Plantain;Herbacée;;3.0
2021-01-14;Graminée;Herbacée;;3.0
2021-01-14;Dactyle;Herbacée;Graminée;3.0
2021-01-14;Houlque;Herbacée;Graminée;3.0
2021-01-14;Noisetier;Arbre;;3.0
2021-01-14;;;;3.0
